Vez,Quantidade,Tempo(segundos)
86,1000000,0.31100
87,1000000,0.30600
88,1000000,0.29700
89,1000000,0.29800
90,1000000,0.29500
91,1000000,0.29300
92,1000000,0.29800
93,1000000,0.29800
94,1000000,0.29000
95,1000000,0.30100
96,1000000,0.29500
97,1000000,0.29400
98,1000000,0.30000
99,1000000,0.29400
100,1000000,0.30000
